ticker,side,contracts,entry_price,entry_ts,exit_price,exit_ts,exit_reason,fees,pnl
KXBTC15M-26AUG050700-00,no,10,95,1785927009,100,1785927632,settlement,0.04,0.46
KXBTC15M-26AUG050830-30,yes,10,96,1785932438,100,1785933011,settlement,0.03,0.37
KXBTC15M-26AUG050900-00,no,10,97,1785934361,100,1785934813,settlement,0.03,0.27
KXBTC15M-26AUG050915-15,no,10,97,1785935266,100,1785935708,settlement,0.03,0.27
KXBTC15M-26AUG050945-45,no,10,96,1785936998,0,1785937510,settlement,0.03,-9.63
KXBTC15M-26AUG051130-30,no,10,97,1785943387,100,1785943808,settlement,0.03,0.27
KXBTC15M-26AUG051200-00,no,10,96,1785945219,100,1785945611,settlement,0.03,0.37
KXBTC15M-26AUG051230-30,yes,10,96,1785946962,100,1785947414,settlement,0.03,0.37
KXBTC15M-26AUG051300-00,no,10,95,1785948901,100,1785949212,settlement,0.04,0.46
KXBTC15M-26AUG051415-15,no,10,96,1785953325,0,1785953717,settlement,0.03,-9.63
KXBTC15M-26AUG051700-00,no,10,95,1785963123,100,1785963616,settlement,0.04,0.46
KXBTC15M-26AUG051715-15,no,10,97,1785964210,100,1785964511,settlement,0.03,0.27
KXBTC15M-26AUG051730-30,no,10,96,1785965035,100,1785965417,settlement,0.03,0.37
KXBTC15M-26AUG051915-15,yes,10,96,1785971487,100,1785971718,settlement,0.03,0.37
KXBTC15M-26AUG052000-00,no,10,96,1785974279,100,1785974420,settlement,0.03,0.37
KXBTC15M-26AUG052200-00,yes,10,95,1785981006,100,1785981619,settlement,0.04,0.46
KXBTC15M-26AUG052330-30,no,10,97,1785986691,100,1785987013,settlement,0.03,0.27
KXBTC15M-26AUG060030-30,yes,10,96,1785990127,100,1785990619,settlement,0.03,0.37
KXBTC15M-26AUG060115-15,yes,10,96,1785992805,100,1785993307,settlement,0.03,0.37
KXBTC15M-26AUG060215-15,no,10,95,1785996601,100,1785996912,settlement,0.04,0.46
KXBTC15M-26AUG060515-15,no,10,96,1786007163,100,1786007716,settlement,0.03,0.37
KXBTC15M-26AUG060545-45,no,10,95,1786009277,100,1786009518,settlement,0.04,0.46
KXBTC15M-26AUG060630-30,yes,10,96,1786011826,100,1786012218,settlement,0.03,0.37
KXBTC15M-26AUG060645-45,no,10,97,1786012926,100,1786013117,settlement,0.03,0.27
KXBTC15M-26AUG060715-15,no,10,96,1786014397,100,1786014920,settlement,0.03,0.37
KXBTC15M-26AUG060745-45,yes,10,96,1786016300,100,1786016712,settlement,0.03,0.37
KXBTC15M-26AUG060815-15,no,10,95,1786017992,100,1786018514,settlement,0.04,0.46
KXBTC15M-26AUG060915-15,no,10,97,1786021609,100,1786022111,settlement,0.03,0.27
KXBTC15M-26AUG061200-00,no,10,97,1786031811,100,1786032026,settlement,0.03,0.27
KXBTC15M-26AUG061415-15,no,10,95,1786039534,100,1786040117,settlement,0.04,0.46
KXBTC15M-26AUG061445-45,no,10,96,1786041598,100,1786041910,settlement,0.03,0.37
KXBTC15M-26AUG061615-15,yes,10,95,1786046848,100,1786047311,settlement,0.04,0.46
KXBTC15M-26AUG061630-30,no,10,97,1786047966,100,1786048217,settlement,0.03,0.27
KXBTC15M-26AUG061830-30,no,10,96,1786054921,100,1786055423,settlement,0.03,0.37
